,Name_URL,Name,Name1,Socket_CPU,FormFactor,MemoryMax,MemorySlots,Color
3259,https://pcpartpicker.com/product/YZphP6/ecs-motherboard-a960mm3,https://images-na.ssl-images-amazon.com/images/I/51THMvRlS0L.jpg,ecs a960m-m3,AM3+,Micro ATX,16,2,Black / Silver
3260,https://pcpartpicker.com/product/PqtCmG/biostar-motherboard-hifiz77x5x,https://images-na.ssl-images-amazon.com/images/I/61kTjC1dtqL.jpg,biostar hi-fi z77x 5.x,LGA1155,ATX,32,4,Black / Blue
3261,https://pcpartpicker.com/product/8VV48d/asus-motherboard-e45m1mpro,https://images-na.ssl-images-amazon.com/images/I/51xboToBRoL.jpg,asus e45m1-m pro,Integrated E-Series E-450,Micro ATX,8,2,Black / Blue
3262,https://pcpartpicker.com/product/rz4gXL/foxconn-motherboard-a55mx,https://m.media-amazon.com/images/I/51KKkApayrL.jpg,foxconn a55mx,FM1,Micro ATX,32,2,
3263,https://pcpartpicker.com/product/4Kw323/asus-motherboard-f1a55mlx3,https://cdna.pcpartpicker.com/static/forever/images/product/feeb53e10cafffeffef09c07e1c08595.med.256p.jpg,asus f1a55-m lx3,FM1,Micro ATX,32,2,Black / Blue
3264,https://pcpartpicker.com/product/JFjG3C/biostar-motherboard-hifia85w,https://images-na.ssl-images-amazon.com/images/I/61j4RffB2fL.jpg,biostar hi-fi a85w,FM2,ATX,64,4,Black / Blue
3265,https://pcpartpicker.com/product/J7Qypg/asrock-motherboard-fm2a85xextreme6,https://m.media-amazon.com/images/I/61hGtJjbiRL.jpg,asrock fm2a85x extreme6,FM2,ATX,64,4,Black / Gold
3266,https://pcpartpicker.com/product/JyYXsY/ecs-motherboard-a85f2agolden10,https://images-na.ssl-images-amazon.com/images/I/51J-0KvN7iL.jpg,ecs a85f2-a golden(1.0),FM2,ATX,64,4,Black / Gold
3267,https://pcpartpicker.com/product/RVkD4D/intel-motherboard-boxdz68pl,https://images-na.ssl-images-amazon.com/images/I/31H7Gqdm02L.jpg,intel dz68pl,LGA1155,ATX,32,4,Black / Blue
3268,https://pcpartpicker.com/product/9CH323/gigabyte-motherboard-gaf2a85xmd3h,https://m.media-amazon.com/images/I/61ph--dJ70L.jpg,gigabyte ga-f2a85xm-d3h,FM2,Micro ATX,64,4,Blue / White
3269,https://pcpartpicker.com/product/GJckcf/asrock-motherboard-fm2a85xextreme4,https://m.media-amazon.com/images/I/61fLMncmBbL.jpg,asrock fm2a85x extreme4,FM2,ATX,64,4,Brown / Black
3270,https://pcpartpicker.com/product/sjdqqs/asrock-motherboard-z77extreme6tb4,https://images-na.ssl-images-amazon.com/images/I/61HxQkSqFRL.jpg,asrock z77 extreme6/tb4,LGA1155,ATX,32,4,Black / Gold
3271,https://pcpartpicker.com/product/TNdqqs/asus-motherboard-maximusvformulaassassinsc3,https://images-na.ssl-images-amazon.com/images/I/613p-PdtviL.jpg,asus maximus v formula/assassins c3,LGA1155,EATX,32,4,Black / Red
3272,https://pcpartpicker.com/product/8yYXsY/biostar-motherboard-a55md2,https://images-na.ssl-images-amazon.com/images/I/61RGF9lfyVL.jpg,biostar a55md2,FM2,Micro ATX,32,2,Black / Red
3273,https://pcpartpicker.com/product/VyYXsY/gigabyte-motherboard-gaz77hd4,https://images-na.ssl-images-amazon.com/images/I/51T33iyZk6L.jpg,gigabyte ga-z77-hd4,LGA1155,ATX,32,4,Blue / White
3274,https://pcpartpicker.com/product/mvXfrH/asus-motherboard-f2a85v,https://m.media-amazon.com/images/I/31vKT1SfASL.jpg,asus f2a85-v,FM2,ATX,64,4,Black / Blue
3275,https://pcpartpicker.com/product/PBkD4D/ecs-motherboard-h61h2iv11,https://images-na.ssl-images-amazon.com/images/I/51CFVCs149L.jpg,ecs h61h2-i v1.1,LGA1155,Mini ITX,16,2,
3276,https://pcpartpicker.com/product/7VkD4D/asrock-motherboard-fm2a85xitx,https://images-na.ssl-images-amazon.com/images/I/613NelCy1VL.jpg,asrock fm2a85x-itx,FM2,Mini ITX,32,2,Black / Gold
