,Name_URL,Name,Name1,FormFactor,EfficiencyRating,Wattage,Modular,Color
1494,https://pcpartpicker.com/product/Rbg323/apex-power-supply-ala400atx,https://pcpartpicker.com/static/forever/img/no-image.png,apex al-a400atx,ATX,,400,No,
1495,https://pcpartpicker.com/product/hgMFf7/xfx-power-supply-p1750snlb9,https://m.media-amazon.com/images/I/41afN7wlOqL.jpg,xfx p1-750s-nlb9,ATX,80+ Bronze,750,No,
1496,https://pcpartpicker.com/product/LHL7YJ/enermax-revolution-sfx-550w-80-gold-certified-fully-modular-sfx-power-supply-erv550swt,https://images-eu.ssl-images-amazon.com/images/I/41bSOccBd6L.jpg,enermax revolution sfx,SFX,80+ Gold,550,Full,
1497,https://pcpartpicker.com/product/tcn2FT/fsp-group-power-supply-fsp30060ghsr,https://m.media-amazon.com/images/I/5112D7AR9ML.jpg,fsp group fsp300-60ghs-r,SFX,80+,300,No,
1498,https://pcpartpicker.com/product/tBPKHx/apevia-1000w-80-bronze-certified-atx-power-supply-atx-jp1000w,https://m.media-amazon.com/images/I/510tOFnon-L.jpg,apevia atx-jp1000w,ATX,80+ Bronze,1000,No,
1499,https://pcpartpicker.com/product/syJwrH/cooler-master-power-supply-rs55080ga,https://pcpartpicker.com/static/forever/img/no-image.png,cooler master silent pro gold,ATX,80+ Gold,550,No,
1500,https://pcpartpicker.com/product/PHyFf7/thermaltake-power-supply-tp1500m,https://images-na.ssl-images-amazon.com/images/I/41IwGwTluaL.jpg,thermaltake toughpower,ATX,80+ Silver,1500,Semi,
1501,https://pcpartpicker.com/product/KrM48d/lc-power-lc6-v23-350-w-80-bronze-certified-atx-power-supply-lc6350v23,https://m.media-amazon.com/images/I/41vkn9PE-lL.jpg,lc-power lc6 v2.3,ATX,80+ Bronze,350,No,Black
1502,https://pcpartpicker.com/product/QJnypg/lc-power-lc6-v23-450-w-80-bronze-certified-atx-power-supply-lc6450v23,https://pcpartpicker.com/static/forever/img/no-image.png,lc-power lc6 v2.3,ATX,80+ Bronze,450,No,Black
1503,https://pcpartpicker.com/product/yZL7YJ/antec-power-supply-hcp750platinum,https://cdna.pcpartpicker.com/static/forever/images/product/e8fa980a5f675bb76d1fcff5b4bae2b3.med.256p.jpg,antec high current pro,ATX,80+ Platinum,750,Full,
1504,https://pcpartpicker.com/product/nqs8TW/silverstone-power-supply-st40fesb,https://images-na.ssl-images-amazon.com/images/I/51CteEthsIL.jpg,silverstone strider,ATX,80+ Bronze,400,No,
1505,https://pcpartpicker.com/product/YBp323/be-quiet-pure-power-10-400w-80-silver-certified-atx-power-supply-bn272,https://cdna.pcpartpicker.com/static/forever/images/product/367ba9c38e8e0c7d462926970cde316a.256p.jpg,be quiet! pure power 10,ATX,80+ Silver,400,No,
1506,https://pcpartpicker.com/product/BstQzy/rosewill-capstone-1000w-80-gold-certified-semi-modular-atx-power-supply-capstone-1000m-2,https://m.media-amazon.com/images/I/415igNdd+cL.jpg,rosewill capstone,ATX,80+ Gold,1000,Semi,Black
1507,https://pcpartpicker.com/product/pYGkcf/thermaltake-power-supply-trx1200m,https://m.media-amazon.com/images/I/41I+xjTKQnL.jpg,thermaltake tr2,ATX,80+,1200,Semi,
